Arecaceae,undiff. (palm trees)
Asteraceae,Taraxacum (dandelion)
Asteraceae,undiff. (daisy family)
Caesalpiniaceae,undiff. (-)
Combretaceae,undiff. (-)
Convolvulaceae,undiff. (bindweed family)
Cucurbitaceae,Citrullus (water melon)
Euphorbiaceae,Ricinus (castor oil plant)
Fabaceae,Prosopis (mesquite)
Lamiaceae,Ocimum (basil)
Lamiaceae,undiff. (mint family)
Malvaceae,undiff. (mallow family)
Mimosaceae,Acacia (whattle)
Mimosaceae,Leucaena (leadtree)
Myrtaceae,undiff. (myrtle family)
Rhamnaceae,Ziziphus (jujube)
Rosaceae,Rubus (bramble/raspberry)
Rutaceae,Citrus (citrus fruit)
