Apiaceae,undiff. (carrot family)
Asteraceae,Taraxacum (dandelion)
Asteraceae,undiff. (daisy family)
Combretaceae,undiff. (-)
Convolvulaceae,Ipomoea (morning glory)
Cucurbitaceae,Citrullus (water melon)
Euphorbiaceae,Chrozophora (tournesol)
Fabaceae,Prosopis (mesquite)
Fabaceae,Trifolium (clover)
Mimosaceae,Acacia (whattle)
Mimosaceae,Leucaena (leadtree)
Myrtaceae,Eucalyptus (gum)
Myrtaceae,undiff. (myrtle family)
Nyctaginaceae,undiff. (four o'clock flower family)
Portulacaceae,undiff. (purslane family)
Rhamnaceae,Ziziphus (jujube)
