Asteraceae,undiff. (daisy family)
Caesalpiniaceae,undiff. (-)
Combretaceae,undiff. (-)
Convolvulaceae,undiff. (bindweed family)
Cucurbitaceae,Citrullus (water melon)
Cucurbitaceae,Cucumis (cucumber)
Fabaceae,Prosopis (mesquite)
Fabaceae,Trifolium (clover)
Lamiaceae,Ocimum (basil)
Malvaceae,undiff. (mallow family)
Mimosaceae,Acacia (whattle)
Mimosaceae,Leucaena (leadtree)
Mimosaceae,Mimosa pudica (sensitive plant)
Myrtaceae,undiff. (myrtle family)
Portulacaceae,undiff. (purslane family)
Rhamnaceae,undiff. (buckthorn family)
Rhamnaceae,Ziziphus (jujube)
