Asteraceae,Taraxacum (dandelion)
Asteraceae,undiff. (daisy family)
Combretaceae,undiff. (-)
Cucurbitaceae,Citrullus (water melon)
Euphorbiaceae,Chrozophora (tournesol)
Fabaceae,Medicago (burclover)
Fabaceae,Trifolium (clover)
Fabaceae,Vicia (vetch)
Malvaceae,undiff. (mallow family)
Mimosaceae,Acacia (whattle)
Mimosaceae,Leucaena (leadtree)
Myrtaceae,Eucalyptus (gum)
Myrtaceae,undiff. (myrtle family)
Portulacaceae,undiff. (purslane family)
Rhamnaceae,undiff. (buckthorn family)
Rhamnaceae,Ziziphus (jujube)
